Model,Best Parameters,Accuracy,Precision,Recall,F1-score,ROC-AUC,Confusion Matrix
Logistic Regression,"{'C': 0.01, 'solver': 'lbfgs'}",0.8032786885245902,0.7837837837837838,0.8787878787878788,0.8285714285714286,0.880952380952381,"[[20  8]
 [ 4 29]]"
Decision Tree,"{'criterion': 'entropy', 'max_depth': 3}",0.7704918032786885,0.7435897435897436,0.8787878787878788,0.8055555555555556,0.8306277056277056,"[[18 10]
 [ 4 29]]"
KNN,"{'n_neighbors': 9, 'weights': 'uniform'}",0.8032786885245902,0.7837837837837838,0.8787878787878788,0.8285714285714286,0.8625541125541125,"[[20  8]
 [ 4 29]]"
Random Forest,"{'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 200}",0.8032786885245902,0.8,0.8484848484848485,0.8235294117647058,0.8755411255411255,"[[21  7]
 [ 5 28]]"
Logistic Regression with Feature Selection,"{'C': 0.1, 'solver': 'lbfgs'}",0.819672131147541,0.8235294117647058,0.8484848484848485,0.835820895522388,0.8798701298701299,"[[22  6]
 [ 5 28]]"
Decision Tree with Feature Selection,"{'criterion': 'entropy', 'max_depth': 3}",0.7540983606557377,0.7647058823529411,0.7878787878787878,0.7761194029850746,0.7900432900432901,"[[20  8]
 [ 7 26]]"
KNN with Feature Selection,"{'n_neighbors': 9, 'weights': 'uniform'}",0.8032786885245902,0.8,0.8484848484848485,0.8235294117647058,0.8625541125541126,"[[21  7]
 [ 5 28]]"
Random Forest with Feature Selection,"{'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 50}",0.7868852459016393,0.7777777777777778,0.8484848484848485,0.8115942028985508,0.867965367965368,"[[20  8]
 [ 5 28]]"
Neural Network Architecture 1,16 -> 8 -> output,0.7868852459016393,0.8125,0.7878787878787878,0.8,0.8614718614718615,"[[22  6]
 [ 7 26]]"
Neural Network Architecture 2,32 -> Dropout -> 16 -> 8 -> output,0.7704918032786885,0.7714285714285715,0.8181818181818182,0.7941176470588235,0.8517316017316017,"[[20  8]
 [ 6 27]]"
